date,estimatedCases,estimatedCasesCILower,estimatedCasesCIUpper
2021-12-02,0,0,7
2021-12-03,0,0,6
2021-12-04,0,0,7
2021-12-05,0,0,7
2021-12-06,0,0,8
2021-12-07,0,0,9
2021-12-08,0,0,10
2021-12-09,0,0,13
2021-12-10,0,0,17
2021-12-11,0,0,20
2021-12-12,0,0,23
2021-12-13,0,0,25
2021-12-14,0,0,31
2021-12-15,0,0,34
2021-12-16,0,0,34
2021-12-17,0,0,37
2021-12-18,0,0,44
2021-12-19,0,0,49
2021-12-20,0,0,52
2021-12-21,0,0,54
2021-12-22,0,0,54
2021-12-23,0,0,54
2021-12-24,0,0,69
2021-12-25,0,0,58
2021-12-26,0,0,67
2021-12-27,0,0,70
2021-12-28,0,0,73
2021-12-29,0,0,85
2021-12-30,0,0,54
2021-12-31,0,0,40
2022-01-01,0,0,49
2022-01-02,0,0,46
2022-01-03,0,0,47
2022-01-04,0,0,40
2022-01-05,0,0,37
2022-01-06,0,0,59
2022-01-07,0,0,66
2022-01-08,0,0,54
2022-01-09,0,0,52
2022-01-10,0,0,46
2022-01-11,0,0,49
2022-01-12,0,0,49
2022-01-13,0,0,47
2022-01-14,0,0,49
2022-01-15,0,0,50
2022-01-16,0,0,53
2022-01-17,0,0,57
2022-01-18,0,0,61
2022-01-19,0,0,62
2022-01-20,0,0,64
2022-01-21,0,0,66
2022-01-22,0,0,69
2022-01-23,0,0,73
2022-01-24,0,0,76
2022-01-25,0,0,86
2022-01-26,0,0,91
2022-01-27,0,0,87
2022-01-28,0,0,83
2022-01-29,0,0,95
2022-01-30,0,0,105
2022-01-31,0,0,104
2022-02-01,0,0,94
2022-02-02,0,0,89
2022-02-03,0,0,97
2022-02-04,0,0,107
2022-02-05,0,0,98
2022-02-06,0,0,94
2022-02-07,0,0,99
2022-02-08,0,0,101
2022-02-09,0,0,100
2022-02-10,0,0,94
2022-02-11,0,0,86
2022-02-12,0,0,80
2022-02-13,0,0,76
2022-02-14,0,0,71
2022-02-15,0,0,64
2022-02-16,0,0,65
2022-02-17,0,0,66
2022-02-18,0,0,68
2022-02-19,0,0,68
2022-02-20,0,0,66
2022-02-21,0,0,61
2022-02-22,0,0,60
2022-02-23,0,0,52
2022-02-24,0,0,47
2022-02-25,0,0,46
2022-02-26,0,0,43
2022-02-27,0,0,37
2022-02-28,0,0,30
2022-03-01,0,0,34
2022-03-02,0,0,35
2022-03-03,0,0,34
2022-03-04,0,0,32
2022-03-05,0,0,30
2022-03-06,0,0,29
2022-03-07,0,0,32
2022-03-08,0,0,27
2022-03-09,0,0,26
2022-03-10,0,0,24
2022-03-11,0,0,22
2022-03-12,0,0,22
2022-03-13,0,0,20
2022-03-14,0,0,18
2022-03-15,0,0,16
2022-03-16,0,0,15
2022-03-17,0,0,16
2022-03-18,0,0,16
2022-03-19,0,0,14
2022-03-20,0,0,13
2022-03-21,0,0,13
2022-03-22,0,0,13
2022-03-23,0,0,12
2022-03-24,0,0,12
2022-03-25,0,0,11
2022-03-26,0,0,11
2022-03-27,0,0,10
2022-03-28,0,0,9
2022-03-29,0,0,8
2022-03-30,0,0,8
2022-03-31,0,0,7
2022-04-01,0,0,7
2022-04-02,0,0,6
2022-04-03,0,0,6
2022-04-04,0,0,6
2022-04-05,0,0,6
2022-04-06,0,0,6
2022-04-07,0,0,6
2022-04-08,0,0,6
2022-04-09,0,0,6
2022-04-10,0,0,6
2022-04-11,0,0,6
2022-04-12,0,0,7
2022-04-13,0,0,6
2022-04-14,0,0,6
2022-04-15,0,0,6
2022-04-16,0,0,6
2022-04-17,0,0,7
2022-04-18,0,0,6
2022-04-19,0,0,6
2022-04-20,0,0,7
2022-04-21,1,0,7
2022-04-22,0,0,8
2022-04-23,1,0,8
2022-04-24,1,0,9
2022-04-25,2,0,9
2022-04-26,1,0,8
2022-04-27,1,0,8
2022-04-28,1,0,8
2022-04-29,1,0,8
2022-04-30,1,0,7
2022-05-01,1,0,7
2022-05-02,1,0,7
2022-05-03,1,0,8
2022-05-04,1,0,8
2022-05-05,2,0,9
2022-05-06,3,1,10
2022-05-07,3,1,11
2022-05-08,3,1,10
2022-05-09,4,1,13
2022-05-10,4,1,13
2022-05-11,4,2,13
2022-05-12,6,2,15
2022-05-13,8,3,18
2022-05-14,9,4,21
2022-05-15,11,5,25
2022-05-16,12,5,29
2022-05-17,11,5,27
2022-05-18,12,5,29
2022-05-19,9,3,28
2022-05-20,7,2,28
2022-05-21,14,1,158
2022-05-22,13,1,153
2022-05-23,10,0,196
2022-05-24,NaN,NaN,NaN
2022-05-24,NaN,NaN,NaN
2022-05-25,NaN,NaN,NaN
2022-05-25,NaN,NaN,NaN
2022-05-26,NaN,NaN,NaN
2022-05-26,NaN,NaN,NaN
